report_id,evidence,recommendation
2024BexleyBabyYCSPR,"Use of the toolkit is subject to regular audits to identify areas of practice shortfalls and to
review the resources in line with feedback from practitioners. Bromley Health Care are
key to this piece of work and are also conducting an internal audit of neglect.","SHIELD to oversee the completion of an evaluation of the use of the multi-agency neglect
toolkit; to take place in the autumn of 2023 e.g., 12 months from the date of the relaunch."
2024BexleyBabyYCSPR,"As stated in the previous section, supervision is key to helping practitioners separate out
and analyse what their instincts (e.g., feelings, experience, intuition, and common sense)
are telling them vs more formal processes, (e.g., assessments, research, hard facts, and
evidence) is telling them. Both are legitimate means of expressing concerns and both
should be given air space in a reflective environment.","SHIELD to develop a 7 minute briefing and top tips for practitioners about how to act on
gut feelings and professional curiosity. A task and finish group should lead on this work
which should include refreshing and promoting SHIELD’s website content."
2024BexleyBabyYCSPR,"The work would have benefitted from exploration of key relationships and extended family
on both sides, e.g., what it meant for Baby Y to be living with his grandparents who had
needs of their own and what were his needs arising from his identity as a black child being
raised ostensibly by a white family. A genogram would have enabled further exploration
of the nuances of the family. Whilst it is unlikely that this would not have impacted on the
outcome, it would have provided a more complete picture and enable further
understanding of the family dynamics and his lived experience. To aid this practice
development, Children’s Social Care in Bexley have amended their audit programme and
resources to include issues of intersectionality","SHIELD to seek assurances from all appropriate member agencies that their training
strategy includes awareness raising about the importance of including fathers and other
male family members in assessments and ongoing work. Intersectionality
Considering the findings in this review about families who experience multiple
oppressions and disadvantage, SHIELD should ensure that professionals in the
partnership are equipped with the knowledge and understanding of intersectionality to
identify and consider these factors when assessing and managing the risk to children."
2024BexleyBabyYCSPR,"One other opportunity to try and marry up this information was Adult A’s arrest in June
2022 about a month before the incident. This followed a long history of contact with the
police and, put together, represented a concerning pattern of alleged offences against
vulnerable victims. In total, over a period of 8 years Adult A came to police attention in
excess of 40 times. Many of the arrests were in connection with his former foster carers
or workers in residential homes where he resided, and although they often required police
assistance, they were reluctant to press charges. There is currently no feasible
mechanism to try to track and monitor offenders of this nature across local authority
borders. This resonates across some Safeguarding Adult Reviews (SAR) in Bexley and
as a starting point, the panel recognised that learning from this review may also be
relevant in an adult context.","SHIELD should share the learning from this review with Safeguarding Adults Boards in
both Bexley and Greenwich and consider together if there are opportunities to augment
local information sharing protocols across south east London."
2024CalderdaleChildPOverview,"Mother’s mental health needs: Lack of clarity about the potential impact
on the children.
7.6 Despite the considerable efforts of a range of practitioners from community
mental health services, the perinatal mental health pathway, maternity, health
visiting and family support, mother’s mental health needs appear to have
inadvertently diverted practitioner attention away from the needs of the children at
times.
7.7 Throughout most of the period during which mother was pregnant with Child 1
and Child P there was a lack of clarity over precisely what the child safeguarding
concerns arising from mother’s mental health diagnosis were. The Early Intervention
Single Assessment provided insufficient clarity in this regard and the Early
Intervention Plans which were reviewed at each of the TAC meetings specified only
the social isolation of the children. However, the safeguarding concerns arising from
maternal mental health were much more numerous and are briefly set out below:
• Mother’s ability to wake during the night to care for Child 1 and Child P whilst
sedated by medication to help her sleep.
• Persistent co-sleeping.
• Over-feeding of both Child 1 and Child P.
• Unrealistic expectations of Child 1 in respect of self-feeding.
• Unrealistic expectations of Child 1’s behaviour (Perceived him to be ‘naughty’
when he was in fact displaying typical toddler behaviour).
• Mother’s frustration when Child 1 played with toys so that they were no
longer ‘in order’.
• The social isolation of the children, particularly Child 1.
• Mother sharing her hallucinations with Child 1.
55
• Mother’s periodic unwillingness to accept and act upon advice from
practitioners
7.8 As stated earlier, it was not until shortly before the birth of Child P that some of
these safeguarding concerns were documented and the risks to the children
articulated. Without clarity about what they were looking for, practitioners were ill-
equipped to notice emerging concerns and there was a risk that they might misread
what they noticed. For example, mother’s ‘spotless’ home tended to be seen as a
positive indicator, when in fact it could have been viewed as a concern given
mother’s obsessive cleaning and her desire for the children’s toys to be set out in
order.
7.9 In order to safeguard Child 1 and Child P, practitioners needed to fully articulate
the potential impacts of mother’s mental health needs upon the children and in
order to do this they needed to be aware of key issues when assessing the risks that
parental mental health could present to children in the household (which are set out
in Paragraph 6.35). These key issues include the paramount importance of focussing
on the child, really listening to what parents are saying so that support can be
provided at the earliest opportunity if they say they are not coping well with looking
after their children and sharing the task of assessment between the wider children’s
workforce and adult mental health practitioners.
7.10 Calderdale Safeguarding Children Partnership may wish to emphasise the
importance of assessing the risks that parental mental health could present to
children in the household and the need to clearly and fully document safeguarding
concerns. In support of this, it would be useful to circulate the key issues that
practitioners should take into account when assessing such risks and gain assurance
that these are fully reflected in policy and practice.","That Calderdale Safeguarding Children Partnership reminds partner agencies of the
need to carefully consider the potential impact of the birth of a second or
subsequent child to a family about which there are prior concerns and to ensure that
any support needs are identified and acted upon without delay."
2024CalderdaleChildPOverview,"Early Help
7.11 Although Calderdale’s Early Help Strategy is highly regarded, Early Help did not
make a positive difference in this case. There were considerable delays in
56
completing the Early Intervention Single Assessment, initiating Team Around the
Child support and notifying the Early Intervention Co-Ordinator. Family Support was
the lead agency for completing the Early Intervention Single Assessment and for the
assistant family outreach worker who carried out the assessment, this was her first
allocated case although she was supported by supervision and, once the
complexities of the case became more apparent, jointly worked the case with an
experienced family support worker.
7.12 With the benefit of hindsight, family support may not have been the ideal
agency to take the lead on Early Help. Their role was to support mother in attending
groups, taking Child 1 to nursery etc. This was a vital role in addressing the social
isolation concerns in respect of Child 1 but arguably an agency with more of a core
role in supporting the family would have been better placed to lead on Early Help
with support from mental health services. Additionally, the lead role played by family
support may have impacted on the focus of the early intervention work. For
example, the Early Intervention plan lists only ‘isolation’ as an impact of mother’s
mental health on the children.
7.13 This review has been advised that there is no formal process for identifying or
reviewing the agency/practitioner to lead on Early Help. As stated above, family
support was not a core agency in providing support to this family, and when
concerns began to escalate in the period prior to the birth of Child P, there was a
strong case for reviewing whether they should continue to lead on Early Help.
Calderdale Safeguarding Children Partnership may wish to examine the issue of how
the lead agency/practitioner for Early Help is decided upon and reviewed.","That Calderdale Safeguarding Children Partnership emphasises the importance of
fully assessing the risks that parental mental health could present to children in the
household , including the use of tools and guidance, and obtains assurance that
single and multi-agency policy, systems and training support s the assessment of
such risks and the documenting of any safeguarding concerns which arise."
2024CalderdaleChildPOverview,"Mental Health services: confidence in respect of the Safeguarding Children
agenda
7.14 Additionally, family support would have been better placed to lead on Early
Help if they had received stronger support from partner agencies. In particular, the
57
Early Help Single Assessment needed to be completed in partnership with mental
health services.
7.15 However, mental health services in this case did not appear to have sufficient
appreciation of the importance of Early Help and the safeguarding children agenda
generally. Consideration of whether to make a safeguarding children referral in
November/December 2017 did not appear to be informed by the ongoing Early Help
work and there was a lack of clarity about whether the proposed referral required
the consent of the parents. Additionally, there were occasions when mental health
practitioners recorded that Child 1 (a toddler) and Child P (a new born baby) were
‘protective factors’ in mother’s life. The use of this term in this context should always
be avoided as the child should always be the central consideration in the
management of risk by all services. Furthermore, concern was expressed by some
agencies that the coping strategies suggested to mother to help her address feelings
of anxiety were insufficiently child-focussed (Paragraph 4.102).
7.16 Calderdale Safeguarding Children Partnership may wish to obtain assurance
that mental health services, particularly those which are primarily focussed on the
needs of adults, have sufficient awareness of the need to safeguard the children of
adults with mental health needs and always give priority to the needs of the child in
considering risk.","That Calderdale Safeguarding Children Partnership obtains assurance that the
provision of Early Help is timely, addresses the needs of the child and their fami ly
and is managed robustly in order to avoid drift. The Partnership should also examine
the issue of how the lead agency/practitioner for Early Help is decided upon and,
where necessary, reviewed. This examination will inform any decision over whether
a mo re formal approach to deciding which agency/practitioner leads on Early Help is
required."
2024CalderdaleChildPOverview,"7.17 Calderdale Safeguarding Children Partnership may wish to widely disseminate
the learning from this case. It would be particularly beneficial for mental health
practitioners to be an important target audience for any learning event(s) which
should provide the opportunity for both mental health and non-mental health
practitioners to discuss the complementary roles they play in safeguarding children.
The perinatal mental health pathway
7.18 The perinatal mental health pathway was being implemented in Calderdale
during the period on which this SCR focusses. The 2018 NHS England and NHS
Improvement guidance The P erinatal M ental H ealth C are P athways (14) highlights a
number of potential long term gains arising from timely access to good quality
58
perinatal mental health care. One of these gains is improving outcomes for children,
including reducing the risk of adverse parenting outcomes. Given the inadvertent
focus on the needs of mother at the expense of the needs of Child 1 and Child P,
Calderdale Safeguarding Children Partnership may wish to seek assurance that the
perinatal mental health pathway has sufficient focus on parenting capacity including
multi-agency review of this issue by all agencies working with the family.","That Calderdale Safeguarding Children Partnership obtains assurance that mental
health services, particularly those which are primarily focussed on the needs of
adults, have sufficient awareness of the need to safeguard the children of adults
with mental health needs and always give priority to the needs of the child when
considering risk."
2024CalderdaleChildPOverview,"7.19 Non mental health practitioners experienced some confusion over how mental
health services were organised and delivered. In particular, there was a lack of
awareness and understanding of the perinatal mental health pathway.
7.20 Therefore Calderdale Safeguarding Children Partnership may wish to invite
SWYPFT to further promote knowledge and awareness of the perinatal mental
health pathway and how mental health services are organised and delivered
generally.","That Calderdale Safeguarding Children Partnership seeks assurance that the
Perinatal Mental Health Pathway includes sufficient focus on parenting capacity
including multi-agency review of this issue by all agencies working with the family."
2024CalderdaleChildPOverview,"Changes in mother’s medication
7.21 During the period covered by this review mother’s medication was changed
several times and that this sometimes had quite a significant impact upon her
presentation. Whilst mental health services routinely communicated these
medication changes to mother’s GP, there is no evidence that they communicated
the medication changes to the non-mental health practitioners working with mother,
such as midwifery, health visiting and family support, which may have had the
unintended consequence of undermining efforts to safeguard the children.
7.22 SWYPFT have included a single agency recommendation (in the action plan
they have drawn up as a result of the learning arising from this SCR) to share the
details of medication changes with relevant practitioners where there are concerns
59
over the impact of medication changes on parental mental health or on parenting
capacity. Calderdale Safeguarding Children Partnership may wish to request a report
from SWYPFT when this single agency recommendation has been completed.
Advice on breastfeeding
7.23 Mother appeared to be given conflicting advice on the safety of breastfeeding
her children given the medication she was taking (Paragraph 6.7). Calderdale
Safeguarding Children Partnership may wish to request Calderdale and Huddersfield
NHS Foundation Trust (midwifery) to reflect on the learning from this SCR and
provide or update guidance to practitioners accordingly.","That Calderdale Safeguarding Children Partnership obtains assurance that South
West Yorkshire Partnership NHS Foundation Trust has appropriately promote d
knowledge and awareness of the P erinatal M ental H ealth P athway and how mental
health services are organised and delivered generally."
